hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2509.81, -30.0369, 2509.94, -150.032, 2510, 89.9637, 174.904, -48.2386, 140.727, -168.235, 157.11, 71.7664
0, 0.00000, 2510.03, -30.0337, 2509.97, -150.028, 2510.23, 89.9724, 157.908, -48.2308, 131.398, -168.232, 110.331, 71.7748
0, 0.00000, 2510.1, -30.0297, 2510.11, -150.026, 2510.25, 89.9736, 138.822, -48.2282, 116.47, -168.228, 110.238, 71.776
0, 0.00000, 2510.21, -30.0292, 2510.03, -150.028, 2510.22, 89.9759, 127.975, -48.2251, 137.371, -168.23, 100.459, 71.7752
0, 0.00000, 2510.08, -30.0303, 2510.11, -150.024, 2510.33, 89.9746, 145.602, -48.2281, 108.959, -168.228, 101.098, 71.7786
0, 0.00000, 2510.22, -30.0254, 2510.21, -150.024, 2510.28, 89.9763, 116.113, -48.2238, 107.876, -168.224, 101.997, 71.7779
0, 0.00000, 2510.4, -30.022, 2510.2, -150.026, 2510.22, 89.9792, 88.1495, -48.2181, 125.43, -168.224, 95.8351, 71.7765
0, 0.00000, 2510.36, -30.0248, 2510.1, -150.028, 2510.19, 89.9783, 99.8305, -48.22, 138.716, -168.226, 96.7419, 71.7751
0, 0.00000, 2510.41, -30.0213, 2510.26, -150.023, 2510.31, 89.9807, 89.3247, -48.2176, 110.499, -168.222, 86.0595, 71.7799
0, 0.00000, 2510.37, -30.0214, 2510.29, -150.022, 2510.33, 89.98, 93.2157, -48.2187, 102.625, -168.221, 88.2335, 71.7805
0, 0.00000, 2510.4, -30.0226, 2510.17, -150.027, 2510.2, 89.9789, 89.5085, -48.2184, 131.128, -168.225, 96.9212, 71.7757
0, 0.00000, 2510.32, -30.0276, 2509.95, -150.036, 2509.94, 89.9738, 102.733, -48.2227, 176.617, -168.233, 123.882, 71.7671
0, 0.00000, 2509.09, -30.0541, 2509.65, -150.041, 2509.64, 89.9434, 272.665, -48.2554, 164.441, -168.248, 244.418, 71.7539
0, 0.00000, 2509.21, -30.0415, 2510.02, -150.046, 2509.18, 89.9358, 198.934, -48.2606, 158.507, -168.237, 320.094, 71.7409
0, 0.00000, 2509.18, -30.0588, 2509.18, -150.067, 2508.89, 89.9345, 252.459, -48.2644, 292.77, -168.266, 309.188, 71.7286
0, 0.00000, 2509.75, -30.0564, 2508.84, -150.075, 2508.91, 89.9491, 204.991, -48.2476, 373.727, -168.275, 239.524, 71.7267
0, 0.00000, 2507.53, -30.0952, 2508.84, -150.063, 2508.91, 89.9007, 501.434, -48.3178, 235.444, -168.282, 418.472, 71.7192
0, 0.00000, 2508.96, -30.0623, 2509.23, -150.062, 2509, 89.9315, 285.331, -48.2723, 264.147, -168.264, 314.565, 71.7303
