hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 5.06095, 1.71918, 4.15839, 1.8087, 4.53332, 0.982502, 0, 0
0, 0.00000, 3.99325, 0.655622, 3.54368, 1.84974, 2.73468, 0.864548, 0, 0
0, 0.00000, 3.25802, 0.72175, 3.06919, 1.34572, 2.62335, 0.870752, 0, 0
0, 0.00000, 3.10036, 0.827281, 2.871, 1.19578, 2.66672, 0.813207, 0, 0
0, 0.00000, 2.94272, 0.755791, 2.88448, 1.12184, 2.59662, 0.88868, 0, 0
0, 0.00000, 2.91169, 0.887516, 2.74753, 1.03718, 2.70012, 0.820321, 0, 0
0, 0.00000, 2.76097, 0.836808, 2.78172, 0.950031, 2.67326, 0.911478, 0, 0
0, 0.00000, 2.70796, 0.670099, 2.65173, 1.05036, 2.35055, 0.811816, 0, 0
0, 0.00000, 2.80284, 0.779356, 2.64202, 1.05013, 2.48804, 0.775687, 0, 0
0, 0.00000, 2.76883, 0.863325, 2.66273, 0.962858, 2.62966, 0.82129, 0, 0
0, 0.00000, 3.80923, 1.88595, 2.62772, 1.06307, 3.93234, 0.450558, 0, 0
0, 0.00000, 3.09563, 1.00331, 3.22489, 0.998127, 3.16463, 1.11265, 0, 0
0, 0.00000, 3.13543, 0.858277, 3.63258, 1.04133, 3.22499, 1.38049, 0, 0
0, 0.00000, 3.62699, 0.712292, 4.03029, 1.43065, 3.20605, 1.42145, 0, 0
0, 0.00000, 4.32859, 0.797837, 4.9423, 1.71451, 3.84073, 1.78876, 0, 0
0, 0.00000, 3.98557, 0.831004, 4.29918, 1.56666, 3.50486, 1.47123, 0, 0
0, 0.00000, 7.87568, 2.67845, 5.26317, 3.05882, 6.2448, 0.607187, 0, 0
0, 0.00000, 8.06464, 1.01237, 7.4409, 3.87531, 5.27422, 1.90944, 0, 0
0, 0.00000, 5.81199, 1.73051, 6.78247, 1.82253, 6.21578, 2.61702, 0, 0
0, 0.00000, 14.1755, 3.75903, 9.96077, 6.11416, 10.0417, 1.29518, 0, 0
0, 0.00000, 11.1361, 2.86337, 9.82079, 4.45095, 9.10699, 2.52291, 0, 0
0, 0.00000, 9.95168, 1.35946, 10.3944, 4.45027, 7.49454, 3.2964, 0, 0
0, 0.00000, 10.5804, 1.88023, 8.79675, 4.91155, 7.06735, 1.85916, 0, 0
0, 0.00000, 12.1011, 4.4779, 10.4201, 3.95109, 11.7224, 2.75731, 0, 0
0, 0.00000, 9.78272, 3.11114, 8.21937, 3.59005, 8.59018, 1.99819, 0, 0
0, 0.00000, 15.1092, 6.30312, 11.2022, 4.81462, 14.4604, 2.17055, 0, 0
0, 0.00000, 12.8931, 1.17527, 10.3644, 6.80256, 6.76147, 1.81566, 0, 0
0, 0.00000, 10.2296, 2.09917, 7.63015, 4.73962, 6.64882, 1.17481, 0, 0
0, 0.00000, 10.1061, 3.3303, 6.80901, 3.97543, 7.90658, 0.799551, 0, 0
