hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 239.981, -30.0655, 240.019, -150.048, 240.049, 89.9401, 0, 0, 32.2251, 131.785, 20.2252, 11.7099, 24.1102, -107.994, 10.4965, -29.712
0, 0.00000, 240.012, -30.0486, 240.076, -150.032, 240.08, 89.9498, 0, 0, 25.2761, 131.731, 11.6733, 11.7467, 20.819, -108.002, 11.9171, -6.93882
0, 0.00000, 240.037, -30.0434, 240.078, -150.033, 240.08, 89.9554, 0, 0, 21.5875, 131.744, 12.9777, 11.7817, 18.8707, -108.058, 7.56244, -6.19336
0, 0.00000, 240.049, -30.0467, 240.058, -150.032, 240.101, 89.9633, 0, 0, 22.8266, 131.824, 14.7615, 11.7301, 13.6703, -108.106, 8.62692, -54.441
0, 0.00000, 240.059, -30.042, 240.073, -150.028, 240.109, 89.9663, 0, 0, 20.7415, 131.808, 12.7425, 11.7542, 12.634, -108.106, 8.0271, -48.8872
0, 0.00000, 240.076, -30.0334, 240.099, -150.022, 240.118, 89.9702, 0, 0, 16.8356, 131.793, 9.26565, 11.7607, 11.6936, -108.099, 6.66976, -29.9068
0, 0.00000, 240.082, -30.0336, 240.091, -150.026, 240.11, 89.9707, 0, 0, 16.1071, 131.788, 11.4719, 11.7849, 11.7285, -108.113, 4.49379, -45.5037
0, 0.00000, 240.084, -30.0316, 240.103, -150.02, 240.126, 89.9732, 0, 0, 15.9431, 131.799, 8.67677, 11.7556, 10.1952, -108.079, 6.61306, -36.7978
0, 0.00000, 240.091, -30.0304, 240.098, -150.025, 240.112, 89.9725, 0, 0, 14.3736, 131.792, 10.9704, 11.7874, 11.285, -108.118, 3.24056, -43.5356
0, 0.00000, 240.078, -30.0315, 240.107, -150.02, 240.124, 89.9712, 0, 0, 16.2693, 131.788, 7.84843, 11.7523, 11.3087, -108.063, 7.299, -24.0778
0, 0.00000, 240.071, -30.0312, 240.113, -150.02, 240.116, 89.968, 0, 0, 16.2938, 131.754, 7.30931, 11.7683, 13.2229, -108.049, 7.86535, -7.84685
0, 0.00000, 240.083, -30.0269, 240.12, -150.02, 240.113, 89.9698, 0, 0, 13.7083, 131.738, 7.33549, 11.7937, 13.1129, -108.061, 6.05595, 7.00369
0, 0.00000, 240.08, -30.0279, 240.118, -150.021, 240.109, 89.9683, 0, 0, 14.1736, 131.743, 7.62466, 11.7856, 13.832, -108.063, 6.34378, 9.22951
