hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 239.879, -30.0926, 239.861, -150.123, 239.756, 89.8724, 0, 0, 83.9506, 131.41, 114.497, 11.7923, 133.201, -108.552, 42.3595, 109.547
0, 0.00000, 239.933, -30.0782, 239.914, -150.099, 239.851, 89.9001, 0, 0, 71.5612, 131.536, 93.078, 11.7603, 102.903, -108.48, 27.3894, 113.807
0, 0.00000, 239.917, -30.0764, 239.977, -150.073, 239.91, 89.9074, 0, 0, 76.4422, 131.468, 64.9902, 11.7417, 92.2422, -108.305, 23.3689, 46.9221
0, 0.00000, 239.953, -30.0665, 240.006, -150.061, 239.958, 89.9226, 0, 0, 66.9859, 131.538, 54.1879, 11.714, 76.3845, -108.265, 19.0776, 36.6748
0, 0.00000, 239.963, -30.0624, 240.02, -150.057, 239.966, 89.9254, 0, 0, 63.1324, 131.523, 50.1465, 11.7281, 73.8755, -108.236, 20.3302, 38.6794
0, 0.00000, 240.009, -30.0512, 240.034, -150.052, 239.997, 89.9392, 0, 0, 50.1467, 131.58, 47.2508, 11.7849, 60.6848, -108.279, 12.0888, 59.9217
0, 0.00000, 240.004, -30.0547, 240.025, -150.052, 240.007, 89.9414, 0, 0, 53.9329, 131.634, 48.5295, 11.7374, 57.0962, -108.28, 7.41773, 32.9371
0, 0.00000, 240.027, -30.0485, 240.032, -150.05, 240.019, 89.9475, 0, 0, 46.7093, 131.646, 47.5402, 11.7513, 51.573, -108.282, 4.43457, 81.2659
0, 0.00000, 240.04, -30.0437, 240.034, -150.054, 240.001, 89.9449, 0, 0, 40.3927, 131.608, 50.2667, 11.8005, 56.3661, -108.314, 13.8416, 109.722
0, 0.00000, 240.032, -30.0464, 240.037, -150.05, 240.016, 89.9473, 0, 0, 44.3192, 131.673, 46.8436, 11.75, 52.4502, -108.298, 7.15512, 89.4219
0, 0.00000, 240.006, -30.0573, 240.01, -150.054, 240.019, 89.9458, 0, 0, 55.9796, 131.688, 52.4295, 11.7084, 51.3285, -108.307, 4.22455, -61.5194
0, 0.00000, 240.028, -30.051, 240.011, -150.057, 240.008, 89.9465, 0, 0, 47.6371, 131.661, 55.8028, 11.7521, 52.7555, -108.335, 7.09648, 153.899
0, 0.00000, 240.022, -30.0567, 239.978, -150.067, 239.995, 89.9449, 0, 0, 51.5573, 131.711, 67.1495, 11.7404, 53.8035, -108.416, 14.4844, -175.63
0, 0.00000, 239.978, -30.0667, 239.968, -150.071, 239.961, 89.9304, 0, 0, 63.2359, 131.663, 69.0929, 11.6851, 68.2924, -108.365, 5.44848, 138.938
0, 0.00000, 239.987, -30.0623, 239.976, -150.072, 239.95, 89.9284, 0, 0, 58.1587, 131.597, 68.6387, 11.7634, 71.887, -108.376, 12.2614, 118.893
0, 0.00000, 239.932, -30.0781, 239.971, -150.066, 239.972, 89.9253, 0, 0, 78.9221, 131.568, 61.7861, 11.6082, 70.0874, -108.225, 14.6116, -19.6256
0, 0.00000, 239.789, -30.127, 239.843, -150.1, 239.884, 89.8906, 0, 0, 128.965, 131.545, 96.8523, 11.4138, 99.4999, -108.274, 30.4075, -44.2168
0, 0.00000, 239.783, -30.13, 239.803, -150.119, 239.824, 89.8779, 0, 0, 128.133, 131.409, 115.594, 11.5129, 115.048, -108.29, 12.5021, -52.6316
0, 0.00000, 239.714, -30.154, 239.78, -150.112, 239.871, 89.88, 0, 0, 157.883, 131.464, 110.73, 11.3048, 104.759, -108.133, 49.5296, -54.7792
0, 0.00000, 239.642, -30.193, 239.592, -150.166, 239.776, 89.8608, 0, 0, 189.472, 131.407, 171.809, 10.8684, 121.713, -108.725, 59.394, -94.1881
0, 0.00000, 239.708, -30.1586, 239.634, -150.181, 239.639, 89.837, 0, 0, 148.288, 130.97, 178.777, 11.0307, 161.942, -109.235, 25.7902, 164.871
0, 0.00000, 239.73, -30.16, 239.608, -150.176, 239.706, 89.8609, 0, 0, 149.715, 130.654, 181.3, 10.594, 133.939, -109.806, 41.0136, -149.366
0, 0.00000, 239.662, -30.1607, 239.66, -150.166, 239.641, 89.8329, 0, 0, 157.279, 130.025, 162.348, 10.1596, 165.987, -109.842, 7.42502, 108.142
0, 0.00000, 239.619, -30.1787, 239.601, -150.178, 239.63, 89.8287, 0, 0, 175.428, 130.055, 177.104, 10.0159, 167.031, -109.957, 9.24768, -119.134
0, 0.00000, 239.642, -30.1537, 239.664, -150.182, 239.522, 89.802, 0, 0, 148.787, 129.239, 171.153, 10.2548, 205.669, -109.792, 48.0402, 95.5712
0, 0.00000, 239.635, -30.1634, 239.631, -150.188, 239.535, 89.8054, 0, 0, 157.012, 129.767, 180.278, 10.441, 199.306, -109.699, 35.6227, 105.758
0, 0.00000, 239.547, -30.2001, 239.589, -150.178, 239.631, 89.8158, 0, 0, 200.895, 130.394, 175.044, 10.3397, 174.517, -109.359, 25.3303, -51.3071
0, 0.00000, 239.475, -30.1984, 239.712, -150.151, 239.6, 89.7842, 0, 0, 209.335, 130.516, 132.904, 10.6171, 207.612, -108.598, 72.7753, 10.4039
0, 0.00000, 239.595, -30.1721, 239.722, -150.158, 239.611, 89.8025, 0, 0, 173.398, 131.015, 143.445, 11.3753, 194.285, -108.416, 42.7638, 36.1194
0, 0.00000, 239.583, -30.1759, 239.761, -150.134, 239.705, 89.8203, 0, 0, 183.528, 131.075, 120.061, 11.3934, 169.747, -108.226, 55.9894, -0.860582
0, 0.00000, 239.574, -30.1907, 239.692, -150.147, 239.721, 89.8276, 0, 0, 195.598, 131.26, 139.609, 11.2695, 158.319, -108.216, 47.9644, -29.9337
0, 0.00000, 239.576, -30.1834, 239.653, -150.184, 239.552, 89.7897, 0, 0, 180.328, 131.009, 170.412, 11.569, 208.002, -108.416, 32.0362, 57.7646
0, 0.00000, 239.508, -30.222, 239.502, -150.22, 239.524, 89.784, 0, 0, 215.235, 131.193, 213.946, 11.3776, 207.242, -108.607, 7.97978, -103.486
0, 0.00000, 239.349, -30.2845, 239.318, -150.262, 239.457, 89.7563, 0, 0, 277.849, 131.255, 262.041, 11.0601, 225.598, -108.666, 45.4533, -92.21
0, 0.00000, 239.234, -30.3174, 239.284, -150.261, 239.464, 89.7417, 0, 0, 318.111, 131.105, 260.153, 10.8904, 231.965, -108.39, 73.7913, -68.6617
0, 0.00000, 239.235, -30.3146, 239.289, -150.263, 239.441, 89.7357, 0, 0, 314.778, 131.086, 261.011, 10.9291, 239.985, -108.418, 64.6888, -65.8985
0, 0.00000, 239.342, -30.2713, 239.412, -150.238, 239.462, 89.7489, 0, 0, 270.384, 131.137, 231.071, 11.0761, 235.283, -108.493, 35.8089, -44.0433
0, 0.00000, 239.455, -30.2349, 239.497, -150.217, 239.518, 89.7742, 0, 0, 231.709, 131.201, 210.058, 11.2079, 214.609, -108.519, 18.7987, -38.3813
0, 0.00000, 239.396, -30.2616, 239.424, -150.229, 239.528, 89.7727, 0, 0, 259.316, 131.258, 225.889, 11.0733, 209.651, -108.501, 42.5712, -68.1421
0, 0.00000, 239.456, -30.2307, 239.53, -150.207, 239.535, 89.7758, 0, 0, 229.794, 131.145, 198.208, 11.2318, 212.667, -108.427, 25.9635, -22.3892
0, 0.00000, 239.495, -30.2159, 239.573, -150.196, 239.559, 89.7844, 0, 0, 215.103, 131.04, 186.503, 11.3578, 205.671, -108.355, 23.4563, -9.23219
0, 0.00000, 239.546, -30.2017, 239.595, -150.192, 239.576, 89.7955, 0, 0, 198.75, 131.106, 183.236, 11.4496, 196.815, -108.466, 13.43, 2.3547
0, 0.00000, 239.58, -30.1848, 239.647, -150.183, 239.567, 89.7949, 0, 0, 181.788, 131.108, 170.766, 11.5505, 201.761, -108.512, 25.9073, 51.083
0, 0.00000, 239.622, -30.195, 239.538, -150.207, 239.602, 89.8183, 0, 0, 183.761, 131.42, 206.661, 11.4093, 174.358, -108.714, 28.4877, -151.622
0, 0.00000, 239.623, -30.1786, 239.669, -150.165, 239.669, 89.8247, 0, 0, 176.758, 131.255, 157.72, 11.4562, 167.17, -108.436, 15.8724, -20.7332
0, 0.00000, 239.722, -30.1448, 239.739, -150.153, 239.685, 89.8392, 0, 0, 139.431, 131.308, 144.335, 11.5922, 159.176, -108.511, 17.2404, 86.06
0, 0.00000, 239.809, -30.1262, 239.744, -150.151, 239.731, 89.8637, 0, 0, 115.921, 131.394, 147.47, 11.6337, 135.918, -108.539, 27.4217, 153.664
0, 0.00000, 239.842, -30.1043, 239.853, -150.119, 239.775, 89.8716, 0, 0, 98.8421, 131.343, 111.106, 11.7266, 130.189, -108.427, 26.8275, 95.0099
0, 0.00000, 239.886, -30.0852, 239.935, -150.093, 239.836, 89.8874, 0, 0, 82.7541, 131.35, 82.8485, 11.7467, 114.897, -108.321, 31.6019, 72.1706
