hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2509.04, -30.0486, 2509.81, -150.05, 2509.1, 89.9316, 233.012, -48.2934, 183.559, -168.239, 332.541, 71.7569
0, 0.00000, 2509.25, -30.0438, 2509.95, -150.041, 2509.46, 89.942, 216.424, -48.2786, 148.659, -168.24, 274.797, 71.7696
0, 0.00000, 2509.53, -30.0362, 2510.13, -150.034, 2509.72, 89.9518, 179.536, -48.2652, 120.99, -168.232, 228.397, 71.7775
0, 0.00000, 2509.65, -30.0377, 2509.98, -150.036, 2509.75, 89.9558, 178.125, -48.2523, 146.449, -168.239, 205.106, 71.7698
0, 0.00000, 2509.64, -30.0353, 2510.11, -150.033, 2509.8, 89.9556, 172.515, -48.2615, 123.232, -168.232, 207.738, 71.7833
0, 0.00000, 2509.72, -30.035, 2510.08, -150.031, 2509.92, 89.9596, 170.607, -48.2472, 123.037, -168.238, 183.669, 71.7767
0, 0.00000, 2509.85, -30.0313, 2510.12, -150.034, 2509.81, 89.9602, 143.305, -48.2482, 134.425, -168.227, 191.361, 71.7705
0, 0.00000, 2509.73, -30.0316, 2510.17, -150.035, 2509.68, 89.9551, 146.723, -48.265, 131.196, -168.223, 221.18, 71.7784
0, 0.00000, 2509.92, -30.0319, 2510.08, -150.031, 2509.97, 89.965, 147.616, -48.2344, 131.697, -168.236, 160.118, 71.7717
0, 0.00000, 2509.9, -30.0304, 2510.16, -150.03, 2509.97, 89.9641, 142.832, -48.2392, 120.14, -168.232, 166.876, 71.7737
0, 0.00000, 2509.91, -30.0393, 2509.64, -150.048, 2509.55, 89.9597, 157.48, -48.2385, 224.039, -168.238, 190.302, 71.7505
0, 0.00000, 2509.71, -30.034, 2510, -150.045, 2509.34, 89.9498, 142.985, -48.2582, 180.595, -168.221, 255.887, 71.7465
0, 0.00000, 2509.39, -30.0449, 2509.51, -150.074, 2508.35, 89.928, 162.802, -48.3, 306.931, -168.224, 384.672, 71.7118
0, 0.00000, 2508.66, -30.0483, 2509.95, -150.061, 2508.39, 89.9101, 228.096, -48.3471, 198.32, -168.209, 466.891, 71.7533
0, 0.00000, 2506.78, -30.0917, 2509.16, -150.093, 2507.13, 89.8512, 464.767, -48.4268, 288.863, -168.259, 738.193, 71.7192
0, 0.00000, 2506.79, -30.0954, 2509.1, -150.084, 2507.59, 89.8599, 496.749, -48.4176, 261.696, -168.286, 671.844, 71.7388
0, 0.00000, 2507.58, -30.0894, 2508.62, -150.106, 2507.12, 89.8716, 401.044, -48.3925, 411.546, -168.267, 640.288, 71.6994
0, 0.00000, 2508.24, -30.0973, 2508.13, -150.084, 2508.71, 89.9165, 451.56, -48.271, 390.48, -168.341, 343.89, 71.7251
0, 0.00000, 2508.21, -30.0916, 2508.28, -150.093, 2508.17, 89.9054, 409.814, -48.2916, 411.881, -168.305, 428.778, 71.7111
0, 0.00000, 2508.1, -30.0898, 2508.78, -150.055, 2509.5, 89.9238, 467.526, -48.2747, 230.635, -168.336, 290.145, 71.769
0, 0.00000, 2508.12, -30.0996, 2508.16, -150.079, 2508.87, 89.9165, 475.481, -48.2696, 365.778, -168.333, 333.896, 71.7366
0, 0.00000, 2508.89, -30.0659, 2509.13, -150.061, 2509.1, 89.9323, 307.242, -48.2653, 264.862, -168.284, 300.991, 71.7397
0, 0.00000, 2508.82, -30.0697, 2509.03, -150.062, 2509.13, 89.9318, 327.945, -48.2544, 271.571, -168.297, 296.207, 71.748
0, 0.00000, 2508.79, -30.0903, 2508, -150.09, 2508.66, 89.9283, 386.133, -48.245, 445.412, -168.331, 297.976, 71.7033
0, 0.00000, 2508.65, -30.0926, 2507.78, -150.113, 2507.77, 89.9109, 366.559, -48.2721, 537.684, -168.314, 414.735, 71.6641
0, 0.00000, 2508.43, -30.0795, 2508.68, -150.084, 2508.29, 89.9104, 355.274, -48.2863, 361.691, -168.294, 418.575, 71.7087
0, 0.00000, 2508.24, -30.0686, 2509.31, -150.074, 2508.2, 89.9013, 324.201, -48.3069, 272.384, -168.275, 485.409, 71.7167
0, 0.00000, 2508.66, -30.0611, 2509.15, -150.095, 2507.51, 89.899, 238.391, -48.3081, 376.49, -168.228, 534.68, 71.6718
0, 0.00000, 2508.83, -30.0588, 2509.4, -150.066, 2508.66, 89.9216, 267.035, -48.3015, 260.342, -168.255, 382.528, 71.7361
0, 0.00000, 2508.51, -30.059, 2509.59, -150.067, 2508.4, 89.909, 278.467, -48.3224, 236.522, -168.245, 454.783, 71.7318
0, 0.00000, 2507.61, -30.0673, 2509.61, -150.089, 2507.14, 89.8671, 316.808, -48.4364, 280.689, -168.212, 697.976, 71.7447
0, 0.00000, 2508.04, -30.0701, 2509.32, -150.081, 2507.85, 89.8907, 328.657, -48.333, 287.29, -168.261, 548.981, 71.7079
0, 0.00000, 2508.01, -30.0749, 2509.05, -150.092, 2507.56, 89.8863, 336.395, -48.3313, 345.372, -168.255, 573.899, 71.6811
0, 0.00000, 2507.83, -30.0892, 2508.42, -150.112, 2507.09, 89.8775, 381.543, -48.2979, 456.152, -168.29, 612.446, 71.6518
0, 0.00000, 2505.79, -30.1629, 2506.65, -150.136, 2506.9, 89.839, 786.392, -48.3231, 581.051, -168.447, 693.128, 71.6707
