hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 4.18621, 0.915879, 3.6983, 1.78739, 3.18765, 0.929404, 0, 0
0, 0.00000, 3.77795, 0.900399, 3.11315, 1.61029, 2.83096, 0.679842, 0, 0
0, 0.00000, 3.68266, 0.886398, 3.01165, 1.56875, 2.75641, 0.646679, 0, 0
0, 0.00000, 2.95582, 0.526892, 2.60666, 1.34558, 2.07231, 0.634052, 0, 0
0, 0.00000, 2.19204, 0.484879, 2.0413, 0.911583, 1.74715, 0.567768, 0, 0
0, 0.00000, 2.04579, 0.466333, 1.66798, 0.891057, 1.48912, 0.351573, 0, 0
0, 0.00000, 1.90068, 0.557838, 1.54593, 0.744015, 1.56213, 0.343738, 0, 0
0, 0.00000, 1.74757, 0.545866, 1.42135, 0.661741, 1.48415, 0.321312, 0, 0
0, 0.00000, 1.70045, 0.51369, 1.31176, 0.670689, 1.37019, 0.255599, 0, 0
0, 0.00000, 1.61496, 0.451526, 1.37244, 0.635265, 1.33461, 0.3334, 0, 0
0, 0.00000, 1.84413, 0.604706, 1.47258, 0.684387, 1.58941, 0.3228, 0, 0
0, 0.00000, 1.8872, 0.660559, 1.43863, 0.686215, 1.64077, 0.284923, 0, 0
0, 0.00000, 2.01705, 0.729514, 1.54326, 0.71616, 1.7918, 0.312526, 0, 0
0, 0.00000, 2.2149, 0.681249, 2.70713, 0.655317, 2.48336, 1.09455, 0, 0
0, 0.00000, 3.0949, 1.15615, 2.35022, 1.07645, 2.79178, 0.471385, 0, 0
0, 0.00000, 3.78501, 0.747936, 3.23565, 1.6933, 2.69177, 0.745163, 0, 0
0, 0.00000, 4.28706, 0.551411, 6.26247, 1.5688, 4.39271, 2.77128, 0, 0
0, 0.00000, 8.2556, 1.18604, 5.45787, 4.31315, 4.15004, 0.328581, 0, 0
0, 0.00000, 7.31873, 0.746018, 5.43806, 3.90544, 3.64312, 0.698736, 0, 0
0, 0.00000, 6.34228, 1.75443, 3.89448, 2.81034, 4.20503, 0.163091, 0, 0
0, 0.00000, 7.82587, 3.88013, 4.40634, 2.38137, 7.41627, 0.16856, 0, 0
0, 0.00000, 6.86067, 4.30667, 3.72331, 1.49911, 7.72535, 0.184352, 0, 0
0, 0.00000, 6.16701, 2.45614, 5.69108, 1.82574, 6.47529, 1.72842, 0, 0
0, 0.00000, 4.81454, 1.17581, 7.13727, 1.36065, 5.81451, 3.27978, 0, 0
0, 0.00000, 7.01568, 1.5409, 7.80044, 2.64845, 6.4483, 2.77501, 0, 0
0, 0.00000, 6.41948, 0.977516, 6.79058, 2.79189, 5.03345, 2.20712, 0, 0
0, 0.00000, 7.20166, 1.49049, 5.98895, 3.20631, 5.10999, 1.29921, 0, 0
0, 0.00000, 7.29286, 0.613559, 6.92367, 3.67263, 4.45912, 1.82519, 0, 0
0, 0.00000, 5.88027, 0.445735, 6.14332, 2.87987, 3.90355, 1.89183, 0, 0
0, 0.00000, 4.4093, 0.765705, 6.0272, 1.56844, 4.52226, 2.56854, 0, 0
0, 0.00000, 5.25344, 0.804129, 4.93441, 2.4122, 3.70139, 1.33259, 0, 0
0, 0.00000, 5.42915, 1.05146, 5.09727, 2.34444, 4.14356, 1.41115, 0, 0
0, 0.00000, 6.08109, 2.10965, 5.25488, 2.08745, 5.68766, 1.38304, 0, 0
0, 0.00000, 9.52542, 2.90239, 7.70967, 3.64749, 7.97368, 1.70316, 0, 0
0, 0.00000, 12.3594, 2.85098, 12.754, 4.76677, 10.8969, 4.15277, 0, 0
0, 0.00000, 9.85133, 3.94371, 11.2752, 2.42975, 11.873, 4.41811, 0, 0
0, 0.00000, 8.72467, 2.54985, 8.86826, 3.03575, 8.37551, 2.91755, 0, 0
0, 0.00000, 8.74266, 2.37148, 7.54137, 3.45006, 7.20878, 1.87129, 0, 0
0, 0.00000, 8.51863, 3.17763, 6.85588, 2.87538, 7.95026, 1.58639, 0, 0
0, 0.00000, 8.63643, 3.0836, 7.79024, 2.83265, 8.43135, 2.22515, 0, 0
0, 0.00000, 7.50733, 1.89333, 8.75994, 2.58066, 7.53741, 3.32224, 0, 0
0, 0.00000, 7.61208, 1.41867, 7.81976, 3.18113, 6.18935, 2.48096, 0, 0
0, 0.00000, 7.41074, 1.71013, 8.40679, 2.70644, 7.04515, 3.07155, 0, 0
0, 0.00000, 7.87096, 2.39047, 7.70955, 2.74064, 7.4871, 2.42604, 0, 0
0, 0.00000, 6.40249, 1.80212, 6.28218, 2.32627, 5.88846, 1.96031, 0, 0
0, 0.00000, 6.54464, 1.97652, 6.0957, 2.35431, 5.99325, 1.77686, 0, 0
0, 0.00000, 5.76259, 1.58129, 6.05574, 2.03749, 5.5139, 2.06351, 0, 0
0, 0.00000, 5.57235, 2.78042, 4.76832, 1.34575, 6.41328, 1.36604, 0, 0
0, 0.00000, 3.31936, 1.24446, 4.31026, 0.775313, 4.22075, 1.86783, 0, 0
0, 0.00000, 2.76663, 0.926715, 2.63328, 0.923887, 2.70244, 0.809822, 0, 0
0, 0.00000, 2.5384, 0.792331, 1.93397, 0.98819, 2.06669, 0.366854, 0, 0
0, 0.00000, 2.37068, 0.758656, 1.85393, 0.900413, 1.98964, 0.382043, 0, 0
0, 0.00000, 1.92157, 0.621574, 1.70806, 0.682633, 1.76197, 0.467207, 0, 0
0, 0.00000, 1.76559, 0.653537, 1.40735, 0.605065, 1.6285, 0.319054, 0, 0
0, 0.00000, 1.99652, 0.741407, 1.39761, 0.722902, 1.71319, 0.213493, 0, 0
0, 0.00000, 2.03905, 0.758621, 1.49779, 0.722537, 1.79976, 0.271835, 0, 0
0, 0.00000, 1.91908, 0.520366, 1.74335, 0.742209, 1.63912, 0.479137, 0, 0
0, 0.00000, 1.93556, 0.528796, 1.5774, 0.783752, 1.53574, 0.34615, 0, 0
0, 0.00000, 1.6311, 0.68736, 1.27468, 0.507438, 1.60876, 0.28871, 0, 0
0, 0.00000, 1.93165, 0.677091, 1.47113, 0.701986, 1.67991, 0.290727, 0, 0
0, 0.00000, 1.95125, 0.749897, 1.55602, 0.64956, 1.8406, 0.357438, 0, 0
0, 0.00000, 2.58148, 1.16144, 2.61296, 0.626972, 3.06009, 0.92133, 0, 0
0, 0.00000, 3.43968, 1.41575, 2.3282, 1.16643, 3.10017, 0.328474, 0, 0
0, 0.00000, 4.68645, 0.644581, 3.75488, 2.33679, 2.75546, 0.684553, 0, 0
0, 0.00000, 4.28638, 0.982466, 3.38444, 1.88353, 3.05536, 0.652221, 0, 0
0, 0.00000, 7.04719, 0.303212, 6.55264, 3.76983, 3.79788, 1.61017, 0, 0
0, 0.00000, 7.10778, 1.46181, 4.98327, 3.36065, 4.40212, 0.572427, 0, 0
0, 0.00000, 4.77989, 1.20145, 4.37009, 1.90285, 3.96771, 1.19756, 0, 0
0, 0.00000, 4.89917, 2.0861, 6.2743, 0.98865, 6.53643, 2.7276, 0, 0
0, 0.00000, 5.46209, 0.544319, 5.09161, 2.71335, 3.39852, 1.30896, 0, 0
0, 0.00000, 3.89308, 1.46864, 3.78636, 1.1696, 4.09874, 1.22659, 0, 0
0, 0.00000, 5.93476, 0.953225, 6.38576, 2.52103, 4.8022, 2.12854, 0, 0
0, 0.00000, 5.02474, 1.35314, 8.25783, 1.16034, 6.8062, 4.05641, 0, 0
