hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 240.137, -30.0165, 240.115, -150.02, 240.13, 89.9862, 0, 0, 14.6333, 131.878, 20.8672, 11.8511, 13.0217, -108.262, 7.15112, -156.817
0, 0.00000, 240.14, -30.0153, 240.121, -150.017, 240.139, 89.9886, 0, 0, 13.7981, 131.886, 18.4249, 11.8236, 10.3829, -108.248, 6.96854, -143.07
0, 0.00000, 240.141, -30.015, 240.123, -150.017, 240.14, 89.989, 0, 0, 13.5183, 131.883, 17.9137, 11.8175, 9.98507, -108.241, 6.85896, -141.712
0, 0.00000, 240.152, -30.011, 240.133, -150.015, 240.144, 89.9909, 0, 0, 9.34967, 131.856, 15.4063, 11.8454, 8.70311, -108.255, 6.39049, -163.067
0, 0.00000, 240.155, -30.0087, 240.145, -150.011, 240.151, 89.9921, 0, 0, 7.69655, 131.829, 10.9076, 11.84, 7.60548, -108.224, 3.25149, -166.682
0, 0.00000, 240.158, -30.0082, 240.147, -150.01, 240.157, 89.994, 0, 0, 7.29358, 131.851, 10.1018, 11.8237, 5.40629, -108.236, 4.0856, -144.579
0, 0.00000, 240.156, -30.0083, 240.15, -150.008, 240.159, 89.9939, 0, 0, 7.78774, 131.839, 8.69644, 11.8062, 5.46707, -108.207, 2.87978, -123.981
0, 0.00000, 240.157, -30.0078, 240.153, -150.008, 240.16, 89.9942, 0, 0, 7.4283, 131.836, 7.81347, 11.8038, 5.15079, -108.204, 2.48854, -115.834
0, 0.00000, 240.159, -30.0075, 240.153, -150.007, 240.162, 89.9949, 0, 0, 7.08596, 131.844, 7.69886, 11.8027, 4.42142, -108.213, 3.01304, -118.271
0, 0.00000, 240.16, -30.0069, 240.154, -150.007, 240.16, 89.9945, 0, 0, 6.43455, 131.829, 7.51455, 11.8177, 4.99248, -108.212, 2.18923, -133.379
0, 0.00000, 240.155, -30.0084, 240.151, -150.008, 240.16, 89.9939, 0, 0, 8.07219, 131.844, 8.08506, 11.7962, 5.34419, -108.202, 2.72859, -108.372
0, 0.00000, 240.154, -30.0088, 240.151, -150.008, 240.16, 89.994, 0, 0, 8.60082, 131.846, 8.0418, 11.7929, 5.12383, -108.202, 3.22757, -99.5167
0, 0.00000, 240.152, -30.0096, 240.149, -150.008, 240.159, 89.9934, 0, 0, 9.3846, 131.845, 8.46446, 11.7938, 5.60685, -108.2, 3.40579, -94.6129
0, 0.00000, 240.145, -30.0098, 240.149, -150.011, 240.138, 89.9871, 0, 0, 9.33608, 131.783, 9.96541, 11.862, 13.152, -108.177, 3.53199, 80.6976
0, 0.00000, 240.137, -30.0149, 240.134, -150.012, 240.15, 89.9898, 0, 0, 14.7066, 131.859, 12.7764, 11.8026, 8.61474, -108.209, 5.38329, -90.008
0, 0.00000, 240.144, -30.0145, 240.12, -150.018, 240.137, 89.9886, 0, 0, 12.5817, 131.878, 19.3108, 11.8647, 10.67, -108.284, 7.83796, -155.848
0, 0.00000, 240.128, -30.0146, 240.12, -150.026, 240.082, 89.9726, 0, 0, 11.8917, 131.725, 23.5181, 12.0095, 30.0616, -108.2, 15.8492, 111.077
0, 0.00000, 240.128, -30.0294, 240.044, -150.039, 240.119, 89.9871, 0, 0, 23.9329, 132.071, 44.4654, 11.9259, 9.8511, -108.511, 30.0455, -144.112
0, 0.00000, 240.137, -30.0243, 240.059, -150.037, 240.114, 89.9864, 0, 0, 18.7662, 131.994, 41.1272, 11.9977, 11.9433, -108.479, 26.37, -154.941
0, 0.00000, 240.118, -30.0272, 240.08, -150.026, 240.138, 89.9878, 0, 0, 25.1659, 131.997, 29.5269, 11.7963, 8.5861, -108.314, 19.0498, -119.453
0, 0.00000, 240.061, -30.0432, 240.07, -150.025, 240.135, 89.9789, 0, 0, 44.9911, 131.999, 26.8929, 11.6435, 14.211, -108.159, 26.6508, -72.095
0, 0.00000, 240.051, -30.0429, 240.089, -150.018, 240.143, 89.9778, 0, 0, 46.8061, 131.956, 18.5677, 11.5818, 14.8507, -108.055, 30.1602, -54.0522
0, 0.00000, 240.085, -30.0305, 240.095, -150.026, 240.103, 89.9727, 0, 0, 30.5547, 131.849, 24.6125, 11.8, 25.1762, -108.15, 5.66354, -43.1007
0, 0.00000, 240.106, -30.0195, 240.117, -150.027, 240.068, 89.9658, 0, 0, 17.8676, 131.689, 23.3496, 12.0038, 36.6308, -108.152, 16.615, 88.4264
0, 0.00000, 240.097, -30.0277, 240.079, -150.036, 240.067, 89.9671, 0, 0, 24.6529, 131.816, 34.921, 11.9721, 33.6087, -108.257, 9.56318, 138.798
0, 0.00000, 240.118, -30.0229, 240.083, -150.034, 240.083, 89.9741, 0, 0, 19.0344, 131.862, 34.3404, 11.9536, 26.5697, -108.303, 13.1521, 162.582
0, 0.00000, 240.112, -30.028, 240.069, -150.034, 240.103, 89.979, 0, 0, 24.5135, 131.95, 36.3283, 11.8571, 19.354, -108.315, 14.994, -150.769
0, 0.00000, 240.13, -30.0233, 240.064, -150.04, 240.086, 89.9779, 0, 0, 17.6141, 131.935, 41.7349, 11.9766, 22.4816, -108.401, 21.9627, -178.874
0, 0.00000, 240.136, -30.0185, 240.087, -150.033, 240.093, 89.979, 0, 0, 13.784, 131.875, 33.9457, 11.9661, 22.0626, -108.347, 17.4465, 167.959
0, 0.00000, 240.124, -30.0162, 240.118, -150.025, 240.087, 89.9734, 0, 0, 13.8293, 131.753, 23.0926, 11.9697, 28.6292, -108.218, 12.8744, 110.131
0, 0.00000, 240.134, -30.0188, 240.098, -150.027, 240.112, 89.9826, 0, 0, 15.6133, 131.897, 28.0703, 11.9539, 17.1758, -108.343, 11.6848, -174.436
0, 0.00000, 240.126, -30.0207, 240.097, -150.027, 240.11, 89.981, 0, 0, 17.9057, 131.89, 27.7981, 11.9108, 18.5801, -108.293, 9.51933, -171.387
0, 0.00000, 240.098, -30.0284, 240.093, -150.026, 240.11, 89.9768, 0, 0, 27.5986, 131.897, 25.9775, 11.8075, 21.0256, -108.201, 5.90072, -94.1841
0, 0.00000, 240.068, -30.0423, 240.04, -150.041, 240.082, 89.9689, 0, 0, 39.9955, 131.98, 42.8565, 11.8032, 27.6157, -108.263, 13.9094, -118.068
0, 0.00000, 240.039, -30.0496, 240.002, -150.062, 240.002, 89.9473, 0, 0, 44.6157, 131.853, 60.7019, 11.9947, 52.4761, -108.266, 13.7504, 163.157
0, 0.00000, 240.013, -30.0487, 240.054, -150.044, 240.017, 89.9428, 0, 0, 48.9953, 131.739, 39.2754, 11.8712, 56.3322, -108.037, 14.6557, 37.5159
0, 0.00000, 240.066, -30.038, 240.057, -150.041, 240.056, 89.961, 0, 0, 35.7717, 131.85, 39.917, 11.897, 38.11, -108.207, 3.54374, 158.01
0, 0.00000, 240.081, -30.0371, 240.051, -150.04, 240.081, 89.9701, 0, 0, 34.3533, 131.933, 40.9744, 11.8669, 27.6205, -108.282, 11.4901, -137.544
0, 0.00000, 240.064, -30.041, 240.059, -150.035, 240.093, 89.9695, 0, 0, 40.4729, 131.94, 35.1278, 11.7631, 26.613, -108.189, 12.0228, -85.387
0, 0.00000, 240.059, -30.0408, 240.059, -150.037, 240.076, 89.9647, 0, 0, 39.9176, 131.895, 36.4039, 11.8037, 32.6123, -108.171, 6.28828, -79.0757
0, 0.00000, 240.081, -30.0309, 240.076, -150.038, 240.052, 89.961, 0, 0, 28.3546, 131.777, 36.0369, 11.9649, 39.9253, -108.213, 10.0871, 112.649
0, 0.00000, 240.102, -30.0286, 240.067, -150.039, 240.07, 89.9695, 0, 0, 24.689, 131.875, 39.2716, 11.9514, 30.7853, -108.303, 12.5686, 167.54
0, 0.00000, 240.089, -30.0297, 240.075, -150.038, 240.058, 89.9638, 0, 0, 26.7001, 131.803, 36.4414, 11.9588, 37.0468, -108.234, 9.94913, 128.996
0, 0.00000, 240.077, -30.0348, 240.069, -150.036, 240.074, 89.9661, 0, 0, 32.9866, 131.865, 35.5128, 11.8683, 32.5894, -108.211, 2.71272, -160.346
0, 0.00000, 240.099, -30.0275, 240.088, -150.03, 240.093, 89.9731, 0, 0, 25.667, 131.853, 29.6854, 11.873, 26.0417, -108.227, 3.81119, -172.602
0, 0.00000, 240.096, -30.0289, 240.086, -150.03, 240.097, 89.9738, 0, 0, 27.3277, 131.874, 29.5913, 11.8552, 24.739, -108.225, 4.1803, -135.504
0, 0.00000, 240.105, -30.0245, 240.098, -150.028, 240.094, 89.9735, 0, 0, 22.7739, 131.825, 26.9522, 11.8958, 26.2294, -108.219, 3.82326, 141.346
0, 0.00000, 240.082, -30.0307, 240.106, -150.02, 240.117, 89.9749, 0, 0, 32.1656, 131.844, 19.1323, 11.757, 22.1227, -108.105, 11.785, -35.4384
0, 0.00000, 240.121, -30.0159, 240.137, -150.016, 240.114, 89.9781, 0, 0, 15.8164, 131.747, 13.7015, 11.8899, 22.4146, -108.149, 7.83757, 58.4082
0, 0.00000, 240.14, -30.0127, 240.14, -150.012, 240.143, 89.9882, 0, 0, 12.278, 131.823, 12.0206, 11.8339, 11.2102, -108.2, 0.968459, -94.5244
0, 0.00000, 240.149, -30.0114, 240.141, -150.011, 240.155, 89.9924, 0, 0, 10.7904, 131.863, 11.3455, 11.8055, 6.52153, -108.227, 4.56156, -114.13
0, 0.00000, 240.15, -30.0107, 240.143, -150.01, 240.155, 89.9925, 0, 0, 10.2272, 131.848, 10.4956, 11.8017, 6.51157, -108.208, 3.84933, -111.582
0, 0.00000, 240.153, -30.0087, 240.151, -150.008, 240.156, 89.9926, 0, 0, 8.34309, 131.821, 8.47425, 11.8154, 6.81199, -108.197, 1.59994, -112.189
0, 0.00000, 240.154, -30.0085, 240.153, -150.007, 240.16, 89.9938, 0, 0, 8.33553, 131.835, 7.32792, 11.7943, 5.37938, -108.195, 2.59877, -88.541
0, 0.00000, 240.153, -30.0096, 240.149, -150.008, 240.162, 89.9942, 0, 0, 9.44612, 131.853, 8.2701, 11.7864, 4.66688, -108.205, 4.3051, -94.4633
0, 0.00000, 240.152, -30.0098, 240.149, -150.008, 240.16, 89.9936, 0, 0, 9.65928, 131.85, 8.43866, 11.7897, 5.28991, -108.2, 3.89752, -92.4112
0, 0.00000, 240.156, -30.0081, 240.15, -150.009, 240.155, 89.9929, 0, 0, 7.51653, 131.822, 9.01924, 11.8295, 6.69871, -108.213, 2.03635, -147.728
0, 0.00000, 240.157, -30.0082, 240.149, -150.009, 240.158, 89.9939, 0, 0, 7.61166, 131.845, 9.07293, 11.8107, 5.44173, -108.22, 3.15894, -131.702
0, 0.00000, 240.154, -30.0083, 240.155, -150.006, 240.162, 89.994, 0, 0, 8.37981, 131.829, 6.30725, 11.7798, 5.09847, -108.174, 2.86916, -69.5084
0, 0.00000, 240.154, -30.009, 240.15, -150.008, 240.16, 89.9938, 0, 0, 8.81208, 131.847, 8.22532, 11.7964, 5.23784, -108.209, 3.31396, -99.307
0, 0.00000, 240.151, -30.0095, 240.151, -150.008, 240.159, 89.993, 0, 0, 9.4377, 131.837, 7.94454, 11.7925, 6.05525, -108.189, 2.93107, -81.9912
0, 0.00000, 240.134, -30.0135, 240.145, -150.011, 240.142, 89.9865, 0, 0, 13.8687, 131.795, 9.57738, 11.8239, 12.7289, -108.147, 3.83887, -3.07968
0, 0.00000, 240.131, -30.0173, 240.129, -150.013, 240.152, 89.9898, 0, 0, 17.4073, 131.878, 13.4696, 11.7703, 7.98656, -108.2, 8.17438, -83.479
0, 0.00000, 240.145, -30.0164, 240.104, -150.023, 240.132, 89.9888, 0, 0, 13.3245, 131.911, 25.4479, 11.9308, 10.2865, -108.365, 13.8581, -157.003
0, 0.00000, 240.138, -30.0172, 240.113, -150.02, 240.136, 89.9882, 0, 0, 15.3502, 131.887, 21.1147, 11.8531, 10.5398, -108.283, 9.14786, -141
0, 0.00000, 240.14, -30.021, 240.065, -150.039, 240.092, 89.9809, 0, 0, 14.7235, 131.944, 41.9077, 12.0488, 19.5867, -108.473, 24.9622, -177.424
